Transaction ID,Transaction Items
Trans1,"Jeans, Sneakers, Belt"
Trans2,"Jeans, Jacket, Sweater, Hat, Socks, Scarf"
Trans3,"T-Shirt, Jacket, Sweater, Scarf, Hat, Socks, Dress, Sneakers, Jeans, Belt"
Trans4,"Sneakers, T-Shirt, Jeans, Dress, Jacket, Socks, Sweater, Scarf"
Trans5,"Hat, T-Shirt, Dress, Socks, Jeans, Sweater, Scarf, Jacket, Belt"
Trans6,"Hat, Sweater, Jeans, Sneakers, Belt, Scarf, Jacket, Dress, T-Shirt"
Trans7,"Hat, Belt, Dress, T-Shirt, Jacket, Scarf, Socks"
Trans8,Dress
Trans9,"Scarf, Hat, Belt"
Trans10,"T-Shirt, Hat, Jeans, Socks, Dress, Sweater"
Trans11,"Sweater, Scarf, Hat"
Trans12,"Belt, Dress, Scarf, Jeans, Jacket, T-Shirt, Sneakers"
Trans13,"Dress, Belt, T-Shirt, Sweater, Jacket"
Trans14,"Scarf, Sneakers, T-Shirt, Jeans, Sweater, Jacket"
Trans15,"Hat, Sweater, T-Shirt, Jacket, Jeans, Sneakers, Scarf, Belt"
Trans16,"Hat, Dress, Belt, Sweater, Scarf"
Trans17,"T-Shirt, Sweater, Belt, Socks, Hat, Sneakers, Jeans"
Trans18,"Jeans, T-Shirt, Sneakers, Scarf, Socks, Dress, Jacket"
Trans19,"Sweater, Jacket, Sneakers, Jeans, Dress, T-Shirt, Hat, Belt"
Trans20,"Sneakers, Jacket, Hat"
