Transaction ID,Transaction Items
Trans1,Smartphone
Trans2,"Keyboard, Smartphone, Camera, Laptop"
Trans3,"Smartphone, Laptop, Monitor, Keyboard, Camera, Laptop Bag"
Trans4,"Smartwatch, Laptop, Monitor, Tablet, Keyboard, Camera, Laptop Bag, Smartphone"
Trans5,"Smartwatch, Smartphone"
Trans6,"Portable Charger, Camera, Headphones, Laptop, Tablet"
Trans7,"Laptop, Smartphone, Camera, Monitor, Headphones, Portable Charger, Smartwatch, Tablet"
Trans8,"Smartwatch, Laptop, Headphones"
Trans9,"Portable Charger, Monitor, Tablet"
Trans10,"Keyboard, Laptop Bag"
Trans11,"Laptop, Laptop Bag, Camera"
Trans12,"Monitor, Tablet, Portable Charger, Smartwatch, Laptop Bag, Headphones, Smartphone, Keyboard, Laptop, Camera"
Trans13,"Portable Charger, Laptop"
Trans14,"Tablet, Headphones, Smartwatch, Camera, Laptop Bag, Monitor, Keyboard, Portable Charger, Smartphone"
Trans15,"Keyboard, Headphones, Tablet, Smartwatch, Portable Charger, Camera, Laptop, Laptop Bag, Monitor, Smartphone"
Trans16,"Smartwatch, Keyboard, Laptop Bag"
Trans17,"Keyboard, Camera, Laptop, Smartwatch, Portable Charger, Tablet, Monitor"
Trans18,Headphones
Trans19,"Smartphone, Tablet, Headphones, Smartwatch, Monitor, Camera, Laptop, Portable Charger"
Trans20,"Portable Charger, Tablet, Laptop Bag, Laptop, Smartwatch, Smartphone, Camera, Headphones"
