Transaction ID,Transaction Items
Trans1,"Chicken, Milk, Apples, Rice, Cheese, Bananas, Eggs"
Trans2,"Bananas, Cheese, Eggs, Rice, Bread, Milk, Chicken, Pasta"
Trans3,"Eggs, Apples, Bread, Bananas, Milk, Tomatoes, Cheese, Pasta, Chicken, Rice"
Trans4,"Bananas, Cheese, Rice, Pasta, Apples, Eggs, Milk"
Trans5,"Milk, Bread, Chicken, Bananas, Rice, Tomatoes, Cheese, Pasta, Apples"
Trans6,"Bread, Cheese, Pasta, Tomatoes, Chicken, Apples"
Trans7,"Bread, Tomatoes, Bananas, Apples, Cheese, Milk, Eggs, Rice"
Trans8,"Bread, Pasta, Bananas, Chicken, Apples"
Trans9,"Tomatoes, Pasta, Apples, Cheese"
Trans10,"Tomatoes, Chicken"
Trans11,"Tomatoes, Cheese, Apples, Bread, Chicken, Bananas"
Trans12,Tomatoes
Trans13,"Rice, Bread, Pasta, Bananas, Tomatoes"
Trans14,"Milk, Bread, Chicken"
Trans15,"Apples, Pasta, Cheese, Chicken, Bread, Tomatoes, Rice, Eggs, Bananas"
Trans16,"Rice, Bananas, Bread, Eggs, Apples, Milk, Cheese, Chicken"
Trans17,"Cheese, Tomatoes, Milk, Bananas, Eggs, Rice"
Trans18,"Bananas, Eggs, Tomatoes, Cheese"
Trans19,Bread
Trans20,"Cheese, Milk, Bread"
